공정명,공정 설명,선행 작업,후속 작업,BIM 코드값,시방서
조명기구공사,"실내외 천장 및 벽면에 전등, 스위치, 콘센트 등의 전기 기구를 취부하고 점등 테스트를 하는 공사",도배공사 (https://app.notion.com/p/36e5716699888026a859f6a122c57a31?pvs=21),현장마감공사 (https://app.notion.com/p/36e57166998880d6aaebfe9c78b82990?pvs=21),,
스위치 콘센트,스위치와 콘센트를 취부하고 점등 테스트를 하는 작업,,,,
조명,전등(조명)을 취부하고 점등 테스트를 하는 작업,,,,
IOT,IOT 연동 기기를 취부하고 점등 테스트를 하는 작업,,,,
바닥재 공사,"실내 바닥면에 마루, 데코타일, 장판등 지정된 바닥 마감재를 시공하는 공사",도배공사 (https://app.notion.com/p/36e5716699888026a859f6a122c57a31?pvs=21),가구공사 (https://app.notion.com/p/36e571669988808aa9a1d9183d9f0c4d?pvs=21),,
바닥재,"실내 바닥면에 마루, 데코타일, 장판 등 지정된 바닥 마감재를 시공하는 작업",,,,
걸레받이,"실내 바닥면에 지정된 바닥 마감재를 시공한 후, 벽면과 바닥이 만나는 코너 부위에 걸레받이를 시공하는 작업",,,,
가구공사,"주방 싱크대, 신발장, 붙박이장 등 현장 맞춤 가구 또는 기성 가구를 반입하여 설치하는 공사",바닥재 공사 (https://app.notion.com/p/36e57166998880b2be6cf039f4237fc9?pvs=21),현장마감공사 (https://app.notion.com/p/36e57166998880d6aaebfe9c78b82990?pvs=21),,
주방 가구,"주방 공간의 효율적인 사용을 위해 싱크대, 상·하부장, 아일랜드 식탁 등의 맞춤 가구를 배치하고 설치하는 작업",,,,
수납 가구,"의류 및 물품 수납을 위해 각 방과 현관 등에 신발장, 붙박이장, 시스템 드레스룸 등의 가구를 조립·설치하는 작업",,,,
현장마감공사,"시공 상태 최종 점검 및 미진한 부위(코킹, 보수 등)를 정리하는 디테일 마감과, 분진 및 공사 잔해를 제거하여 즉시 입주가 가능하도록 실내외 전반을 세척하는 입주청소(준공청소) 단계","가구공사 (https://app.notion.com/p/36e571669988808aa9a1d9183d9f0c4d?pvs=21), 조명기구공사 (https://app.notion.com/p/36e571669988806e8f2ec8e674987471?pvs=21)",준공 (https://app.notion.com/p/36e57166998880ed8befc25f6916320d?pvs=21),,
준공 청소,"공사 과정에서 발생한 분진, 미세먼지, 공사 잔해물 등을 깨끗이 제거하고 즉시 입주가 가능하도록 실내외 전반을 세척하는 작업",,,,
커튼,"실내 채광 조절과 사생활 보호, 인테리어 효과를 위해 창호 주변에 커튼 박스를 점검하고 커튼 및 블라인드를 설치하는 작업",,,,
냉난방기,쾌적한 실내 기온 유지를 위해 지정된 위치에 천장형 시스템 에어컨이나 벽걸이 냉난방기 기기를 최종 취부하고 연결하는 작업,,,,
준공,"모든 공사를 완료하고 청소(준공청소)를 마친 후, 건축물 사용승인 및 입주가 가능한 상태로 인도하는 단계",현장마감공사 (https://app.notion.com/p/36e57166998880d6aaebfe9c78b82990?pvs=21),,,
